year,visitor_type,gdp_m
2016-17,Domestic Household,28803
2016-17,Domestic Business,5021
2016-17,International,13953
2017-18,Domestic Household,31170
2017-18,Domestic Business,5662
2017-18,International,14982
2018-19,Domestic Household,33704
2018-19,Domestic Business,6834
2018-19,International,15969
2019-20,Domestic Household,28827
2019-20,Domestic Business,5523
2019-20,International,12264
2020-21,Domestic Household,29188
2020-21,Domestic Business,2889
2020-21,International,392
2021-22,Domestic Household,34949
2021-22,Domestic Business,3861
2021-22,International,2316
2022-23,Domestic Household,52092
2022-23,Domestic Business,8235
2022-23,International,11871
2023-24,Domestic Household,53042
2023-24,Domestic Business,8486
2023-24,International,16651
2024-25,Domestic Household,53835
2024-25,Domestic Business,8730
2024-25,International,18574
