Category,Year,GDP
Household visitors,2016-17,28803.0
Business/government visitors,2016-17,5021.0
International visitors,2016-17,13953.0
Household visitors,2017-18,31170.0
Business/government visitors,2017-18,5662.0
International visitors,2017-18,14982.0
Household visitors,2018-19,33704.0
Business/government visitors,2018-19,6834.0
International visitors,2018-19,15969.0
Household visitors,2019-20,28827.0
Business/government visitors,2019-20,5523.0
International visitors,2019-20,12264.0
Household visitors,2020-21,29188.0
Business/government visitors,2020-21,2889.0
International visitors,2020-21,392.0
Household visitors,2021-22,34949.0
Business/government visitors,2021-22,3861.0
International visitors,2021-22,2316.0
Household visitors,2022-23,52092.0
Business/government visitors,2022-23,8235.0
International visitors,2022-23,11871.0
Household visitors,2023-24,53042.0
Business/government visitors,2023-24,8486.0
International visitors,2023-24,16651.0
Household visitors,2024-25,53835.0
Business/government visitors,2024-25,8730.0
International visitors,2024-25,18574.0
