Country,Year,Rank
China,2016-17,1
China,2017-18,1
China,2018-19,1
China,2019-20,1
China,2020-21,5
China,2021-22,5
China,2022-23,4
China,2023-24,2
China,2024-25,2
New Zealand,2016-17,2
New Zealand,2017-18,2
New Zealand,2018-19,2
New Zealand,2019-20,2
New Zealand,2020-21,1
New Zealand,2021-22,1
New Zealand,2022-23,1
New Zealand,2023-24,1
New Zealand,2024-25,1
USA,2016-17,3
USA,2017-18,3
USA,2018-19,3
USA,2019-20,3
USA,2020-21,4
USA,2021-22,3
USA,2022-23,3
USA,2023-24,4
USA,2024-25,4
UK,2016-17,4
UK,2017-18,4
UK,2018-19,4
UK,2019-20,4
UK,2020-21,2
UK,2021-22,2
UK,2022-23,2
UK,2023-24,3
UK,2024-25,3
India,2016-17,5
India,2017-18,5
India,2018-19,5
India,2019-20,5
India,2020-21,3
India,2021-22,4
India,2022-23,5
India,2023-24,5
India,2024-25,5
